   index0       index1    |  delay.val  
     0             'C'      |      0      
     0           Infinity   |      0      
     0             'R'      |      0      
     1             'C'      |      59     
     1           Infinity   |      16     
     1             'R'      |     108     
     2             'C'      | 113.99999999999932
     2           Infinity   | 36.999999999998636
     2             'R'      |     214     
     3             'C'      |     173     
     3           Infinity   | 52.999999999996362
     3             'R'      |      0      
     4             'C'      |      0      
     4           Infinity   | 74.999999999999091
     4             'R'      |      0      
     5             'C'      | 3.0527934218583978e-12
     5           Infinity   | 91.999999999999091
     5             'R'      |      0      
     6             'C'      | 3.4869963364526212e-12
     6           Infinity   | 114.99999999999886
     6             'R'      |      0      
     7             'C'      |      0      
     7           Infinity   | 134.99999999999636
     7             'R'      | 15.999999999999687
     8             'C'      |      0      
     8           Infinity   | 156.99999999999818
     8             'R'      | 126.99999999999976
     9             'C'      |      0      
     9           Infinity   | 180.99999999999909
     9             'R'      |      0      
     10            'C'      | 1.900701818158268e-13
     10          Infinity   |      0      
     10            'R'      |      0      
     11            'C'      | 1.0591527654923993e-12
     11          Infinity   |      0      
     11            'R'      |      0      
     12            'C'      | 68.000000000001762
     12          Infinity   |      0      
     12            'R'      |      0      
     13            'C'      | 136.99999999999821
     13          Infinity   |      0      
     13            'R'      | 115.99999999999854
     14            'C'      | 201.99999999999747
     14          Infinity   |      0      
     14            'R'      |      0      
     15            'C'      |      0      
     15          Infinity   |      0      
     15            'R'      |      0      
     16            'C'      |      0      
     16          Infinity   |      0      
     16            'R'      |      0      
     17            'C'      |      0      
     17          Infinity   |      0      
     17            'R'      |      0      
     18            'C'      |      0      
     18          Infinity   |      0      
     18            'R'      | 125.99999999999486
     19            'C'      |      0      
     19          Infinity   |      0      
     19            'R'      | 4.8869521874456144e-12
     20            'C'      |      0      
     20          Infinity   |      0      
     20            'R'      | 3.543951496743754e-12
     21            'C'      |      0      
     21          Infinity   |      0      
     21            'R'      |      0      
     22            'C'      | 78.000000000001847
     22          Infinity   |      0      
     22            'R'      |      0      
     23            'C'      | 151.00000000000193
     23          Infinity   |      0      
     23            'R'      | 123.99999999999594
     24            'C'      | 228.00000000000193
     24          Infinity   |      38     
     24            'R'      |      0      
     25            'C'      |      0      
     25          Infinity   |      73     
     25            'R'      | 2.6895380340066199e-12
     26            'C'      |      0      
     26          Infinity   | 108.99999999999999
     26            'R'      |      0      
     27            'C'      |      0      
     27          Infinity   | 150.99999999999997
     27            'R'      |      0      
     28            'C'      |      0      
     28          Infinity   | 197.99999999999997
     28            'R'      | 130.99999999999724
     29            'C'      |      0      
     29          Infinity   | 239.99999999999997
     29            'R'      |      0      
     30            'C'      |      0      
     30          Infinity   |      0      
     30            'R'      | 3.3804429391194017e-12
     31            'C'      |      89     
     31          Infinity   |      0      
     31            'R'      | 3.3830898025275802e-12
     32            'C'      | 179.00000000000048
     32          Infinity   |      0      
     32            'R'      |      0      
     33            'C'      |      0      
     33          Infinity   |      0      
     33            'R'      | 133.99999999999653
     34            'C'      |      0      
     34          Infinity   |      0      
     34            'R'      | 3.6155232572345925e-12
     35            'C'      |      0      
     35          Infinity   |      0      
     35            'R'      |      0      
     36            'C'      |      0      
     36          Infinity   |      0      
     36            'R'      | 3.3183677031407454e-12
     37            'C'      |      0      
     37          Infinity   |      0      
     37            'R'      |      0      
     38            'C'      |      0      
     38          Infinity   |      0      
     38            'R'      |      0      
     39            'C'      |      0      
     39          Infinity   |      0      
     39            'R'      | 102.99999999999652
     40            'C'      |      0      
     40          Infinity   |      0      
     40            'R'      | 203.99999999999335
     41            'C'      | 51.000000000000114
     41          Infinity   |      0      
     41            'R'      | 3.8671688214759409e-12
     42            'C'      | 110.00000000000011
     42          Infinity   |      0      
     42            'R'      |      0      
     43            'C'      | 168.00000000000011
     43          Infinity   |      0      
     43            'R'      |      0      
     44            'C'      |      0      
     44          Infinity   |      0      
     44            'R'      |      0      
     45            'C'      |      0      
     45          Infinity   |      0      
     45            'R'      |      0      
     46            'C'      |      0      
     46          Infinity   |      0      
     46            'R'      | 100.99999999999662
     47            'C'      |      0      
     47          Infinity   |      0      
     47            'R'      | 205.99999999999665
     48            'C'      |      0      
     48          Infinity   |      0      
     48            'R'      |      0      
     49            'C'      |      0      
     49          Infinity   |      0      
     49            'R'      |      0      
     50            'C'      |      0      
     50          Infinity   |      0      
     50            'R'      |      0      
     51            'C'      |      0      
     51          Infinity   |      0      
     51            'R'      |      0      
     52            'C'      |      0      
     52          Infinity   |      0      
     52            'R'      |      0      

