   index0       index1    |    s.val    
     0             'C'      |      0      
     0           Infinity   |      0      
     0             'R'      |      0      
     1             'C'      |      0      
     1           Infinity   |      0      
     1             'R'      |      0      
     2             'C'      |      0      
     2           Infinity   |      0      
     2             'R'      |      0      
     3             'C'      |      0      
     3           Infinity   |      0      
     3             'R'      | 427.00000000000034
     4             'C'      | 442.00000000000733
     4           Infinity   |      0      
     4             'R'      | 321.00000000000034
     5             'C'      | 385.00000000000199
     5           Infinity   |      0      
     5             'R'      | 208.00000000000031
     6             'C'      | 323.00000000000239
     6           Infinity   |      0      
     6             'R'      | 94.000000000000313
     7             'C'      | 258.99999999999892
     7           Infinity   |      0      
     7             'R'      |      0      
     8             'C'      | 193.99999999999892
     8           Infinity   |      0      
     8             'R'      |      0      
     9             'C'      | 132.99999999999844
     9           Infinity   |      0      
     9             'R'      | 349.00000000000148
     10            'C'      | 69.999999999999133
     10          Infinity   |     406     
     10            'R'      | 235.00000000000148
     11            'C'      |      0      
     11          Infinity   |     377     
     11            'R'      | 116.00000000000227
     12            'C'      |      0      
     12          Infinity   |     346     
     12            'R'      | 2.2737367544323206e-12
     13            'C'      | 8.1517015360077494e-12
     13          Infinity   |     323     
     13            'R'      | 8.1001871876651421e-13
     14            'C'      | 7.3976380576823431e-12
     14          Infinity   |     295     
     14            'R'      | 367.9999999999925
     15            'C'      | 435.00000000000637
     15          Infinity   |     261     
     15            'R'      | 249.0000000000052
     16            'C'      | 365.0000000000008
     16          Infinity   |     231     
     16            'R'      | 126.0000000000052
     17            'C'      | 296.00000000000028
     17          Infinity   |     204     
     17            'R'      | 5.2045262307005936e-12
     18            'C'      | 224.9999999999973
     18          Infinity   |     167     
     18            'R'      | 3.922195901395753e-12
     19            'C'      | 148.99999999999815
     19          Infinity   |     138     
     19            'R'      | 377.99999999999142
     20            'C'      | 77.999999999998153
     20          Infinity   |     107     
     20            'R'      | 249.00000000000043
     21            'C'      |      0      
     21          Infinity   |      72     
     21            'R'      | 128.00000000000537
     22            'C'      |      0      
     22          Infinity   |      39     
     22            'R'      | 5.3650471845735538e-12
     23            'C'      |      0      
     23          Infinity   |      0      
     23            'R'      | 2.5692024632838883e-12
     24            'C'      |      0      
     24          Infinity   |      0      
     24            'R'      | 386.99999999999153
     25            'C'      |     414     
     25          Infinity   |      0      
     25            'R'      | 255.9999999999942
     26            'C'      |     334     
     26          Infinity   |      0      
     26            'R'      | 128.00000000000657
     27            'C'      |     255     
     27          Infinity   |      0      
     27            'R'      | 6.5691676658125993e-12
     28            'C'      |     169     
     28          Infinity   |      0      
     28            'R'      | 3.2764620019540671e-12
     29            'C'      | 86.999999999999503
     29          Infinity   |      0      
     29            'R'      | 407.99999999998971
     30            'C'      |      0      
     30          Infinity   |     491     
     30            'R'      | 273.99999999999307
     31            'C'      |      0      
     31          Infinity   | 447.99999999999909
     31            'R'      | 134.00000000000006
     32            'C'      |      0      
     32          Infinity   |     401     
     32            'R'      | 6.975260424378216e-12
     33            'C'      | 438.00000000000125
     33          Infinity   |     358     
     33            'R'      | 3.4940494555239817e-12
     34            'C'      | 345.00000000000125
     34          Infinity   |     307     
     34            'R'      | 455.99999999998209
     35            'C'      |     257     
     35          Infinity   |     257     
     35            'R'      | 317.99999999999807
     36            'C'      |     206     
     36          Infinity   |     239     
     36            'R'      | 211.00000000000139
     37            'C'      |     155     
     37          Infinity   |     222     
     37            'R'      | 106.00000000000665
     38            'C'      |     105     
     38          Infinity   |     207     
     38            'R'      | 6.6513929848786139e-12
     39            'C'      |      53     
     39          Infinity   |     195     
     39            'R'      | 3.1690206014900468e-12
     40            'C'      |      0      
     40          Infinity   |     185     
     40            'R'      |      0      
     41            'C'      |      0      
     41          Infinity   |     175     
     41            'R'      | 417.99999999998562
     42            'C'      |      0      
     42          Infinity   |     158     
     42            'R'      | 314.00000000000341
     43            'C'      |      0      
     43          Infinity   |     145     
     43            'R'      | 208.00000000000338
     44            'C'      |     454     
     44          Infinity   | 126.99999999999773
     44            'R'      | 108.00000000000337
     45            'C'      |     395     
     45          Infinity   |     116     
     45            'R'      | 3.331461430915459e-12
     46            'C'      | 335.99999999999841
     46          Infinity   |      97     
     46            'R'      |      0      
     47            'C'      |     283     
     47          Infinity   |      83     
     47            'R'      |      0      
     48            'C'      |     224     
     48          Infinity   |      68     
     48            'R'      |     417     
     49            'C'      |     165     
     49          Infinity   |      51     
     49            'R'      |     317     
     50            'C'      |     111     
     50          Infinity   |      34     
     50            'R'      | 207.99999999999864
     51            'C'      |      52     
     51          Infinity   |      17     
     51            'R'      |     107     
     52            'C'      |      0      
     52          Infinity   |      0      
     52            'R'      |      0      

