   index0       index1    |    q.val    
     1             'C'      |      0      
     1           Infinity   |      0      
     1             'R'      |      0      
     2             'C'      |      0      
     2           Infinity   |      0      
     2             'R'      |      0      
     3             'C'      | 1.1510792319313623e-12
     3           Infinity   |      0      
     3             'R'      |     656     
     4             'C'      | 674.99999999999955
     4           Infinity   |      0      
     4             'R'      |      0      
     5             'C'      |      0      
     5           Infinity   |      0      
     5             'R'      |      0      
     6             'C'      |      0      
     6           Infinity   |      0      
     6             'R'      |      0      
     7             'C'      |      0      
     7           Infinity   |      0      
     7             'R'      |      0      
     8             'C'      |      0      
     8           Infinity   |      0      
     8             'R'      |      0      
     9             'C'      |      0      
     9           Infinity   |      0      
     9             'R'      | 680.00000000000023
     10            'C'      | 7.673861546209082e-13
     10          Infinity   |      0      
     10            'R'      |      0      
     11            'C'      | 2.6698643296185764e-12
     11          Infinity   |     651     
     11            'R'      |      0      
     12            'C'      |      0      
     12          Infinity   |      0      
     12            'R'      |      0      
     13            'C'      |      0      
     13          Infinity   |      0      
     13            'R'      |      0      
     14            'C'      |      0      
     14          Infinity   |      0      
     14            'R'      | 607.00000000000011
     15            'C'      | 708.00000000000148
     15          Infinity   |      0      
     15            'R'      |      0      
     16            'C'      |      0      
     16          Infinity   |      0      
     16            'R'      |      0      
     17            'C'      |      0      
     17          Infinity   |      0      
     17            'R'      |      0      
     18            'C'      |      0      
     18          Infinity   |      0      
     18            'R'      |      0      
     19            'C'      |      0      
     19          Infinity   |      0      
     19            'R'      |     627     
     20            'C'      |      0      
     20          Infinity   |      0      
     20            'R'      |      0      
     21            'C'      |      0      
     21          Infinity   |      0      
     21            'R'      |      0      
     22            'C'      |      0      
     22          Infinity   |      0      
     22            'R'      |      0      
     23            'C'      |      0      
     23          Infinity   |      0      
     23            'R'      |      0      
     24            'C'      |      0      
     24          Infinity   |      0      
     24            'R'      | 642.00000000000011
     25            'C'      | 723.00000000000296
     25          Infinity   |      0      
     25            'R'      |      0      
     26            'C'      |      0      
     26          Infinity   |      0      
     26            'R'      |      0      
     27            'C'      |      0      
     27          Infinity   |      0      
     27            'R'      |      0      
     28            'C'      |      0      
     28          Infinity   |      0      
     28            'R'      |      0      
     29            'C'      |      0      
     29          Infinity   |      0      
     29            'R'      |     669     
     30            'C'      |      0      
     30          Infinity   |      0      
     30            'R'      |      0      
     31            'C'      |      0      
     31          Infinity   |     742     
     31            'R'      |      0      
     32            'C'      |      0      
     32          Infinity   |      0      
     32            'R'      |      0      
     33            'C'      |     706     
     33          Infinity   |      0      
     33            'R'      |      0      
     34            'C'      |      0      
     34          Infinity   |      0      
     34            'R'      | 727.00000000000227
     35            'C'      |      0      
     35          Infinity   |      0      
     35            'R'      |      0      
     36            'C'      |      0      
     36          Infinity   |      0      
     36            'R'      |      0      
     37            'C'      |      0      
     37          Infinity   |      0      
     37            'R'      |      0      
     38            'C'      |      0      
     38          Infinity   |      0      
     38            'R'      |      0      
     39            'C'      |      0      
     39          Infinity   |      0      
     39            'R'      |      0      
     40            'C'      |      0      
     40          Infinity   |      0      
     40            'R'      |      0      
     41            'C'      |      0      
     41          Infinity   |      0      
     41            'R'      | 728.99999999999966
     42            'C'      |      0      
     42          Infinity   |      0      
     42            'R'      |      0      
     43            'C'      |      0      
     43          Infinity   |      0      
     43            'R'      |      0      
     44            'C'      |      0      
     44          Infinity   |      0      
     44            'R'      |      0      
     45            'C'      | 680.99999999999989
     45          Infinity   |      0      
     45            'R'      |      0      
     46            'C'      |      0      
     46          Infinity   |      0      
     46            'R'      |      0      
     47            'C'      |      0      
     47          Infinity   |      0      
     47            'R'      |      0      
     48            'C'      |      0      
     48          Infinity   |      0      
     48            'R'      | 730.99999999999989
     49            'C'      |      0      
     49          Infinity   |      0      
     49            'R'      |      0      
     50            'C'      |      0      
     50          Infinity   |      0      
     50            'R'      |      0      
     51            'C'      |      0      
     51          Infinity   |      0      
     51            'R'      |      0      
     52            'C'      |      0      
     52          Infinity   |      0      
     52            'R'      |      0      

